iter	Passed	Remaining
0	8	8513
1	14	7065
2	17	5881
3	22	5652
4	26	5344
5	30	5113
6	35	5051
7	40	5030
8	44	4909
9	48	4774
10	51	4659
11	55	4578
12	58	4409
13	61	4356
14	65	4288
15	69	4281
16	72	4210
17	76	4149
18	80	4132
19	84	4142
20	88	4123
21	91	4085
22	95	4058
23	99	4040
24	103	4020
25	106	3979
26	109	3951
27	113	3927
28	117	3935
29	120	3885
30	123	3871
31	127	3854
32	131	3857
33	135	3850
34	139	3843
35	143	3845
36	147	3851
37	151	3839
38	155	3826
39	159	3818
40	163	3821
41	167	3814
42	171	3813
43	174	3793
44	178	3790
45	182	3781
46	186	3780
47	189	3767
48	194	3765
49	197	3758
50	201	3750
51	205	3738
52	209	3747
53	214	3749
54	218	3753
55	222	3742
56	226	3749
57	230	3738
58	233	3723
59	236	3711
60	240	3706
61	244	3700
62	248	3691
63	251	3682
64	255	3675
65	260	3679
66	263	3667
67	266	3658
68	270	3651
69	276	3672
70	280	3666
71	284	3663
72	288	3667
73	293	3669
74	297	3667
75	302	3674
76	308	3694
77	312	3697
78	317	3702
79	323	3714
80	327	3714
81	331	3711
82	336	3713
83	340	3711
84	344	3709
85	348	3704
86	352	3702
87	357	3710
88	362	3710
89	367	3718
90	373	3727
91	377	3722
92	381	3721
93	386	3722
94	390	3719
95	392	3698
96	396	3694
97	403	3718
98	416	3790
99	422	3802
100	429	3820
101	434	3826
102	439	3823
103	444	3829
104	449	3834
105	454	3836
106	459	3837
107	464	3835
108	469	3837
109	474	3835
110	478	3832
111	483	3831
112	488	3831
113	493	3833
114	506	3896
115	511	3895
116	516	3896
117	522	3902
118	526	3894
119	530	3888
120	533	3878
121	537	3867
122	541	3857
123	545	3853
124	549	3844
125	553	3839
126	557	3831
127	562	3829
128	566	3825
129	571	3821
130	575	3814
131	579	3810
132	583	3805
133	588	3801
134	592	3794
135	596	3788
136	601	3786
137	605	3784
138	611	3787
139	616	3785
140	620	3779
141	625	3778
142	630	3777
143	634	3773
144	641	3780
145	644	3771
146	648	3760
147	651	3749
148	654	3740
149	659	3734
150	662	3724
151	666	3716
152	669	3709
153	675	3712
154	680	3708
155	684	3705
156	690	3707
157	695	3705
158	699	3698
159	703	3695
160	708	3691
161	712	3687
162	716	3676
163	721	3677
164	725	3673
165	730	3669
166	734	3662
167	739	3663
168	743	3658
169	748	3652
170	751	3645
171	756	3639
172	760	3634
173	764	3630
174	769	3629
175	774	3624
176	778	3620
177	783	3620
178	788	3618
179	793	3613
180	800	3621
181	805	3622
182	813	3632
183	818	3630
184	822	3625
185	827	3623
186	832	3618
187	836	3612
188	840	3605
189	844	3598
190	848	3592
191	850	3579
192	854	3573
193	859	3570
194	864	3568
195	869	3568
196	873	3561
197	877	3554
198	882	3552
199	887	3551
200	891	3544
201	896	3542
